idCliente;apellido1;apellido2;nombre;salario;rangoSalarial;localidad;municipio;provincia
59;DE LEON;SANTOS;DANIEL;35231,97873;muy alto;El Parral;;Ávila
60;DE LOS SANTOS;MAISONAVE;JUAN JOSE;25044,63807;medio;El Tiemblo;;Ávila
61;DELLA VENTURA;VALERIO;AMANDA ROSA;33311,1733;alto;Espinosa de los Caballeros;La Moraña;Ávila
62;DIAZ;DE ROSSI;ALICIA;26178,69825;medio;Flores de Ávila;La Moraña;Ávila
63;DIAZ;ALMEIDA;JORGE GISLENO;19437,55512;muy bajo;Fontiveros;La Moraña;Ávila
64;DIRINGUER;SANTORO;RAFAEL ANGEL;29624,25822;medio;Fresnedilla;Comarca de Arenas de San Pedro;Ávila
65;DUARTE;OBISPO;FREDDY FABIAN;31875,15823;alto;Fuente el Saúz;La Moraña;Ávila
66;ECHEVERRIA;CASANOVA;DIEGO EWARD;26444,9407;medio;Fuentes de Año;La Moraña;Ávila
67;ERMINDA;CASULO;VICTOR HUGO;24130,44319;bajo;Gallegos de Altamiros;;Ávila
68;ERRO;AZCARTE;MARIA LOURDES;37567,16093;muy alto;Gallegos de Sobrinos;;Ávila
69;ESPOSITO;VILLAGRAN;DANIEL;19734,68364;muy bajo;Garganta del Villar;Comarca de El Barco de Ávila-Piedrahíta;Ávila
70;ESTEVES;PEREIRA DE SOUZA;PEDRO OMAR;32720,09942;alto;Gavilanes;Comarca de Arenas de San Pedro;Ávila
71;ESTEVEZ;ROSAS;MAUREN BEATRIZ;25897,50976;medio;Gemuño;Valle de Amblés;Ávila
72;ESTRAMIL;BURIANO;RAUL JOSE;40270,16132;muy alto;Gil García;Alto Tormes;Ávila
73;ETCHAMENDI;PIEGAS;JOSE LUIS;32527,97835;alto;Gilbuena;Alto Tormes;Ávila
74;ETCHEVERRY;DELFINO;ZULLY EMILIA;27718,74455;medio;Gimialcón;La Moraña;Ávila
75;EZQUERRA;MARTINOTTI;WILSON;22630,04272;muy bajo;Gotarrendura;;Ávila
76;FACET;ACOSTA;CARLOS ENRIQUE;24103,29258;bajo;Grandes y San Martín;;Ávila
77;FARIAS;;VICTOR;27501,35624;medio;Guisando;Comarca de Arenas de San Pedro;Ávila
78;FERNADEZ;ETULAIN;MARIA ELENA;43955,73972;muy alto;Gutierre-Muñoz;La Moraña;Ávila
79;FERNANDEZ;BARBOZA;JAVIER;34437,77734;alto;Hernansancho;La Moraña;Ávila
80;FERNANDEZ;;GLADYS;29475,31373;medio;Herradón de Pinares;;Ávila
81;FERNANDEZ;ALBA;MARIA CRISTINA;28318,74455;medio;Herreros de Suso;;Ávila
82;FERNANDEZ;ARAUJO;SERRANA;37656,41609;muy alto;Higuera de las Dueñas;Comarca de Arenas de San Pedro;Ávila
83;FERRARI;SILVERA;PABLO NICOLAS;28411,95809;medio;Horcajo de las Torres;La Moraña;Ávila
84;FERRAZ;ZABALA;YAMANDU;23746,17283;bajo;Hoyocasero;Valle del Alberche;Ávila
85;FERRE;RIGALI;ARIEL EDISON;29601,87194;medio;Hoyorredondo;;Ávila
86;FERREIRA;QUIROS;HUGO GABRIEL;40299,69156;muy alto;Hoyos de Miguel Muñoz;;Ávila
87;FERREIRA;DE MATTOS;NELSON;14329,4604;muy bajo;Hoyos del Collado;;Ávila
88;FERREIRA;OLIVEIRA;JORGE;35958,49161;muy alto;Hoyos del Espino;;Ávila
89;FERREIRA;IZQUIERDO;NELSON ALFONSO;36740,29188;muy alto;Hurtumpascual;;Ávila
90;FLORENCIO;VARELA;JOSE ENRIQUE;35601,71997;muy alto;Junciana;Alto Tormes;Ávila
91;FONT;SINGLET;FELIX MARIO;30051,19675;medio;La Adrada;Valle del Tiétar;Ávila
92;FORCADE;LOPEZ;STELLA MARIS;33429,35585;alto;La Aldehuela;Comarca de El Barco de Ávila-Piedrahíta;Ávila
93;FRANCA;NEBOT;ALVARO JOSE;27278,53379;medio;La Carrera;Comarca de El Barco de Ávila-Piedrahíta;Ávila
94;FRANCO;BURGUES;MARIA DEL CARMEN;23610,26976;bajo;La Colilla;;Ávila
95;FREIRA;PRADO;CARLOS;33470,15999;alto;La Hija de Dios;;Ávila
96;FREITAS;TURNES;HEBER;27431,46391;medio;La Horcajada;Comarca de El Barco de Ávila-Piedrahíta;Ávila
97;GAMOU;FASANELLO;ADOLFO CARLOS;16114,90783;muy bajo;La Serrada;Valle de Amblés;Ávila
98;GANDOGLIA;TEDESCO;HUGO;32016,955;alto;La Torre;Valle de Amblés;Ávila
99;GARCIA;AGUIAR;CARLOS OMAR;32920,74608;alto;Langa;La Moraña;Ávila
100;GARCIA;LUENGO;CRISTINA;31512,1476;alto;Lanzahíta;Comarca de Arenas de San Pedro;Ávila
101;GARCIA;BONSIGNORE;MARIO;18834,89295;muy bajo;Las Berlanas;;Ávila
102;GARCIA;MARTINEZ;LUIS ALBERTO;22106,91143;muy bajo;Las Navas del Marqués;Valle del Alberche;Ávila
103;GAUDIN;REAL;ESTELA ELSA;34698,23656;alto;Los Llanos de Tormes;Comarca de El Barco de Ávila - Piedrahíta;Ávila
104;GIGENA;BELLOSO;IGNACIO;28039,88439;medio;Madrigal de las Altas Torres;La Moraña;Ávila
105;GILGORRI;NOBLE;ANA CARINA;37260,05373;muy alto;Maello;;Ávila
106;GIRALDEZ;VIÑA;MARIA DEL CARMEN;32507,51541;alto;Malpartida de Corneja;;Ávila
107;GIURIA;BARBOT;RAUL BARTOLOME;32877,59003;alto;Mamblas;La Moraña;Ávila
108;ABALOS;ROCHON;ALBERTO OSCAR;26969,49486;medio;Abajas;La Bureba;Burgos
109;ACUÑA;GUTIERREZ;VICTOR ESTEBAN;17326,24198;muy bajo;Adrada de Haza;Ribera del Duero;Burgos
110;AGUIRRE;DANIELE;CARLOS WALDEMAR;27477,6667;medio;Aguas Cándidas;La Bureba;Burgos
111;ALDECOSEA;PEDROZZA;DANIEL;33237,36115;alto;Aguilar de Bureba;La Bureba;Burgos
112;ALMEDA;MOREIRA;SILVANA JACQULINE;27347,68838;medio;Albillos;Alfoz de Burgos;Burgos
113;ALMIRON;FREDES;JOSE LUIS;32340,67251;alto;Alcocero de Mola;La Bureba;Burgos
114;ARAUJO;REFRESQUINI;ALICIA;27114,28094;medio;Alfoz de Bricia;Las Merindades;Burgos
115;ARBILDI;LOPEZ;HUBERT;43341,30239;muy alto;Alfoz de Quintanadueñas;Alfoz de Burgos;Burgos
116;ARBIZA;;GUALBERTO;28100,93414;medio;Alfoz de Santa Gadea;Las Merindades;Burgos
117;ARTIGAS;LEMA;JULIO CESAR;27903,4178;medio;Altable;Comarca del Ebro;Burgos
118;ASHFIELD;PRATS;SERGIO MARIO;22538,82831;muy bajo;Ameyugo;Comarca del Ebro;Burgos
119;AZAMBUYA;AGUERRE;TERESITA;25099,28126;medio;Anguix;Ribera del Duero;Burgos
120;BACCELLI;ROSSARI;CARLOS RENZO;18885,22173;muy bajo;Aranda de Duero;Ribera del Duero;Burgos
121;BACHMANN;;VICTOR;23611,84764;bajo;Arandilla;Ribera del Duero;Burgos
122;BADANO;BURONI;GABRIEL ALEJANDRO;48317,78753;muy alto;Arauzo de Miel;Sierra de la Demanda (comarca);Burgos
123;BAEZ;FERRARO;NINO;38248,74045;muy alto;Arauzo de Salce;Sierra de la Demanda;Burgos
124;BAGDASSARIAN;KETENYIAN;DORA;25530,21476;medio;Arauzo de Torre;Sierra de la Demanda (comarca);Burgos
125;BALCALDI;TESAURO;JOSE ALBERTO;35976,10444;muy alto;Arcos;Alfoz de Burgos;Burgos
126;BANDERA;PERG;MARIO ISIDRO;25271,29908;medio;Arenillas de Riopisuerga;Odra-Pisuerga;Burgos
127;BARBACHAN;SUAREZ;EDUARDO ALBERTO;24781,19205;bajo;Arija;Las Merindades;Burgos
128;BARBATO;ALMANDOS;MARIO NELSON;30514,61808;medio;Arlanzón;Alfoz de Burgos;Burgos
129;BARITE;PEREZ;WILSON RAMON;40174,60412;muy alto;Arraya de Oca;Montes de Oca (comarca);Burgos
130;BARRETO;BENTANCOR;JUAN CARLOS;32107,58838;alto;Atapuerca;Alfoz de Burgos;Burgos
131;BARRIOS;FERNANDEZ;ARTIGAS ALEXIS;16906,33671;muy bajo;Avellanosa de Muñó;Comarca del Arlanza;Burgos
132;BATTISTONI;SPINELLI;JULIO JOSE;21052,14296;muy bajo;Bahabón de Esgueva;Comarca del Arlanza;Burgos
133;BAZ;COGO;ROBERTO;24792,29681;bajo;Barbadillo de Herreros;Sierra de la Demanda (comarca);Burgos
134;BAZ;DIAZ;ANA MARIA;22586,86547;muy bajo;Barbadillo del Mercado;Sierra de la Demanda (comarca);Burgos
135;BECEIRO;MENDARO;MARIA CRISTINA;33299,65801;alto;Barbadillo del Pez;Sierra de la Demanda (comarca);Burgos
136;BELLO;ASTRALDI;GRACIELA TERESITA;37665,15297;muy alto;Barrio de Muñó;Comarca del Arlanza;Burgos
137;BELTRAME;LEMOLE;ERNESTO GABRIEL;25111,3799;medio;Barrios de Colina;Montes de Oca (comarca);Burgos
138;BENITEZ;CAMPARI;ESTELA;32271,58579;alto;Basconcillos del Tozo;Páramos (comarca);Burgos
139;BENITEZ;GARCIA;GLORIA DEL CARMEN;10955,0307;muy bajo;Bascuñana;Montes de Ayago;Burgos
140;BENTABERRI;ALOUY;ANA MARIA;24183,18158;bajo;Baños de Valdearados;Ribera del Duero;Burgos
141;BENTANCOR;DODERA;JESUS;32471,80894;alto;Bañuelos de Bureba;La Bureba;Burgos
142;BEQUIO;DUPIN;MARTHA CATALINA;26461,12285;medio;Belbimbre;Odra-Pisuerga;Burgos
143;BERGARA;DUQUE;MARIO ESTEBAN;27919,92246;medio;Belorado;Montes de Oca (comarca);Burgos
144;BERTI;MOYANO;IGNACIO;17457,54765;muy bajo;Berberana;Las Merindades;Burgos
145;BIANCHI;FERNANDEZ;LEONARDO JORGE;41508,57954;muy alto;Berlangas de Roa;Ribera del Duero;Burgos
146;BLANCO;RAMOS;KARIM DINORAH;16652,37636;muy bajo;Berzosa de Bureba;La Bureba;Burgos
147;BORBA;SILVA;FREDY JOSE;15266,27044;muy bajo;Bozoó;;Burgos
148;BORGES;MARINI;MARÍA PATRICIA;40116,52183;muy alto;Brazacorta;Ribera del Duero;Burgos
149;BOSCA;GOMEZ;HUGO RAUL;25192,9529;medio;Briviesca;La Bureba;Burgos
150;BRAGA;PEREZ;MIGUEL ANGEL;18407,31402;muy bajo;Bugedo;Comarca del Ebro;Burgos
151;BRECHNER;FREY;MIGUEL;27461,93612;medio;Buniel;Alfoz de Burgos;Burgos
152;BRIZ;LUCAS;ABILIO HUGO;24107,29715;bajo;Burgos;Alfoz de Burgos;Burgos
153;BURGOS;LEZAMA;MANUEL;15086,54838;muy bajo;Busto de Bureba;La Bureba;Burgos
154;BUZZETTI;FRAGA;IRUPE CARMEN;29453,66569;medio;Cabañes de Esgueva;Comarca del Arlanza;Burgos
155;CABRERA;ROCHA;GERARDO E.;23424,66769;bajo;Cabezón de la Sierra;Sierra de la Demanda (comarca);Burgos
156;CALVO;BALSAS;ROBERTO;24375,2162;bajo;Caleruega;Ribera del Duero;Burgos
157;CAMPO;CHIARLA;JULIO CESAR;18068,60496;muy bajo;Campillo de Aranda;Ribera del Duero;Burgos
158;CANCELA;VILA;ARIEL;21366,30544;muy bajo;Campolara;Sierra de la Demanda (comarca);Burgos
159;CANTERO;ALBRIEUX;MARIA CRISTINA;38495,88952;muy alto;Canicosa de la Sierra;Sierra de la Demanda (comarca);Burgos
160;CAPOZZOLI;CAMBOM;CARMELO RAMON;25889,45768;medio;Cantabrana;La Bureba;Burgos
161;CARBAJAL;MACIAS;NATALIA;25498,92701;medio;Carazo;Sierra de la Demanda (comarca);Burgos
162;CARDINAL;PIEGAS;FERNANDO RAUL;31056,60879;alto;Carcedo de Bureba;La Bureba;Burgos
163;CARDOSO;SILVA;JOSE CARLOS;27488,87503;medio;Carcedo de Burgos;Alfoz de Burgos;Burgos
164;CARDOSO;FERREIRA;GERMAN;27787,80157;medio;Cardeñadijo;Alfoz de Burgos;Burgos
165;CARDOSO;PIOLI;SILVIO RICARDO;30240,93487;medio;Cardeñajimeno;Alfoz de Burgos;Burgos
166;CARDOZO;ABERO;MARIA DILIA;33745,08446;alto;Cardeñuela Riopico;Alfoz de Burgos;Burgos
167;CARRAU;CORRAL;FERNANDO;35651,90756;muy alto;Carrias;La Bureba;Burgos
168;CASARETTO;GERFAUO;FEDERICO RAMIRO;31047,91172;alto;Cascajares de Bureba;La Bureba;Burgos
169;CASAS;MENDITEGUY;ALBERTO ENRIQUE;27386,42323;medio;Cascajares de la Sierra;Sierra de la Demanda (comarca);Burgos
170;PEREZ ;HERNANDEZ;MARIA NILSA;46621,48968;muy alto;Castellanos de Castro;Odra-Pisuerga;Burgos
171;VARELA;SANTANGELO;MARIA DEL ROSARIO;4973,426036;muy bajo;Castil de Peones;La Bureba;Burgos
172;COSTAS;VAZQUEZ;EDUARDO;19612,0924;muy bajo;Castildelgado;;Burgos
173;CASTILLO;CABRERA;JOSE  LUIS;21842,65489;muy bajo;Castrillo Matajudíos;Odra-Pisuerga;Burgos
174;CASTRO;SILVA;RAUL BOLIVAR;27649,38326;medio;Castrillo de Riopisuerga;Odra-Pisuerga;Burgos
175;CASTRO;MENY;JOSE CARLOS;20711,28275;muy bajo;Castrillo de la Reina;Sierra de la Demanda (comarca);Burgos
176;CASTRO;VEGA;JORGE;18220,64998;muy bajo;Castrillo de la Vega;Ribera del Duero;Burgos
177;CASTRO;RIVERA;ALICIA;25155,46198;medio;Castrillo del Val;Alfoz de Burgos;Burgos
178;CATEURA;DEAMBROGIO;MARIA ELIZABETH;22426,57385;muy bajo;Castrojeriz;Odra-Pisuerga;Burgos
179;CERRUTTI;GIMENEZ;RODRIGO LORENZO;19331,63892;muy bajo;Cavia;Alfoz de Burgos;Burgos
180;CERSOSIMO;MICHELINI;GUSTAVO;22538,22776;muy bajo;Cayuela;Alfoz de Burgos;Burgos
181;CHAGAS;MIRANDA;IRIOMAR;26494,58221;medio;Cebrecos;Comarca del Arlanza;Burgos
182;CHARLES;VINCIGUERRA;LUIS DANTE;38495,26529;muy alto;Celada del Camino;Alfoz de Burgos;Burgos
183;CHIESA;DUHALDE;SERGIO;27729,9226;medio;Cerezo de Río Tirón;(comarca);Burgos
184;CHRISTY;DAVIES;JORGE EDUARDO;27409,38521;medio;Cerratón de Juarros;Montes de Oca (comarca);Burgos
185;COELLO;COLOMBO;ADRIANA;31334,52556;alto;Ciadoncha;Comarca del Arlanza;Burgos
186;COLLAZO;IBAÑEZ;MARCIA LEONORA;30939,27431;medio;Cillaperlata;Las Merindades;Burgos
187;COLOM;SCALONE;CARLOS VICENTE;32800,73742;alto;Cilleruelo de Abajo;Comarca del Arlanza;Burgos
188;CONDE;MORIONDO;ALBERTO RUBEN;15031,82685;muy bajo;Cilleruelo de Arriba;Comarca del Arlanza;Burgos
189;CONTRERAS;RODRIGUEZ;GUZMAN;33727,53666;alto;Ciruelos de Cervera;Comarca del Arlanza;Burgos
190;CORREA;SARAVIA;HUMBERTO;18105,48751;muy bajo;Cogollos;Alfoz de Burgos;Burgos
191;CORUJO;MILAN;MARÍA DEL CARMEN;27588,42339;medio;Condado de Treviño;Comarca del Ebro;Burgos
192;COSSE;GARRIDO;ANA CAROLINA;36479,22689;muy alto;Contreras;Sierra de la Demanda (comarca);Burgos
193;COURIEL;CURIEL;ALBERTO;28170,22726;medio;Coruña del Conde;Ribera del Duero;Burgos
194;COUSTARD;GONZALEZ;LIBER RAMON;26392,82296;medio;Covarrubias;Comarca del Arlanza;Burgos
195;CUADRADO;ISASA;LUIS;22781,92095;muy bajo;Cubillo del Campo;;Burgos
196;CUEVAS;SANCHEZ;WALTER;32336,66423;alto;Cubo de Bureba;La Bureba;Burgos
197;CURUTCHET;;OSCAR;22913,08739;muy bajo;Cuevas de San Clemente;Comarca del Arlanza;Burgos
198;DE OLIVEIRA;RODRIGUEZ;EDILBERTO;37416,76741;muy alto;Encío;Comarca del Ebro;Burgos
199;DELGROSSO;ABRINIS;PABLO ALEJANDRO;20709,27917;muy bajo;Espinosa de Cervera;Comarca del Arlanza;Burgos
200;DELOR;PEDROZO;NILA MARIELA;24045,54777;bajo;Espinosa de los Monteros;Las Merindades;Burgos
201;DEMARCO;BEROIS;MARIELLA;27613,80415;medio;Espinosa del Camino;Montes de Oca (comarca);Burgos
202;DETOMASI;MAGGIOLO;BEATRIZ;26340,80643;medio;Estépar;Alfoz de Burgos;Burgos
203;DIAZ;GORDILLO;RAUL HECTOR;34820,93629;alto;Fontioso;Comarca del Arlanza;Burgos
204;DIAZ;PEREZ;JOSE ARIEL;18843,26145;muy bajo;Frandovínez;Alfoz de Burgos;Burgos
205;DIPERNA;ACOSTA;CLAUDIA REBECA;30408,83451;medio;Fresneda de la Sierra Tirón;Montes de Oca (comarca);Burgos
206;DODERA;IRIGOYEN;SANDRA ROSELLA;20504,295;muy bajo;Fresneña;Montes de Oca (comarca);Burgos
207;DOGLIO;CASULLO;LAURA ISABEL;25074,89618;medio;Fresnillo de las Dueñas;Ribera del Duero;Burgos
208;DOMINGUEZ;ALONSO;MARIA ELVIRA;31508,26902;alto;Fresno de Rodilla;Alfoz de Burgos;Burgos
209;DOMINGUEZ;RUIZ;GUSTAVO;31215,54319;alto;Fresno de Río Tirón;Montes de Oca (comarca);Burgos
210;DOTI;GENTA;COSME DAVID;22552,15849;muy bajo;Frías;Las Merindades;Burgos
211;DUARTE;ACOSTA;WALTER LUIS;21491,09309;muy bajo;Fuentebureba;La Bureba;Burgos
212;DUFRECHOU;CASAL;MARIA ALEJANDRA;27762,24396;medio;Fuentecén;Ribera del Duero;Burgos
213;DUPONT;GALIONE;EDUARDO CESAR;16851,11613;muy bajo;Fuentelcésped;Ribera del Duero;Burgos
214;DURAN;;MARCIANO;25328,05711;medio;Fuentelisendo;Ribera del Duero;Burgos
215;DURAÑONA;GRAVIER;ANABELL;14654,82684;muy bajo;Fuentemolinos;Ribera del Duero;Burgos
216;ECCHER;MACHADO;ALANA SILVIA;39528,1453;muy alto;Fuentenebro;Ribera del Duero;Burgos
217;ELOSEGUI;PEREIRA;EDUARDO;28749,86341;medio;Fuentespina;Ribera del Duero;Burgos
218;ENCISO;CHRISTIANSEN;CARLOS FERNANDO;28408,32898;medio;Galbarros;La Bureba;Burgos
219;FAGIANI;VALDEZ;SONIA;25679,78051;medio;Grijalba;Odra-Pisuerga;Burgos
220;FAGUNDEZ;BRAZEIRO;JOSE LUIS;26501,173;medio;Grisaleña;La Bureba;Burgos
221;FARIAS;;MIGUEL;25791,42829;medio;Gumiel de Izán;Ribera del Duero;Burgos
222;FARIELLO;VALMAGGIA;RODOLFO;22507,96091;muy bajo;Gumiel de Mercado;Ribera del Duero;Burgos
223;FERNANDEZ;INDA;SANDRO CHARLES;17852,59206;muy bajo;Hacinas;Sierra de la Demanda (comarca);Burgos
224;FERNANDEZ;MORIN;OSVALDO RODOLFO;26747,38079;medio;Haza;Ribera del Duero;Burgos
225;FERNANDEZ;GARDA;ESTELA NORA;28264,19557;medio;Hontanas;Odra-Pisuerga;Burgos
226;FERNANDEZ;GALEANO;MIGUEL ANGEL;29657,38028;medio;Hontangas;Ribera del Duero;Burgos
227;FERNANDEZ;DONANGELO;JOSE HUGO;44760,064;muy alto;Hontoria de Valdearados;Ribera del Duero;Burgos
228;FERNANDEZ;HUIDOBRO;ELEUTERIO;34526,52718;alto;Hontoria de la Cantera;Alfoz de Burgos;Burgos
229;FERNANDEZ CHAVEZ;ALONSO;MARIA DE LOS ANGELES;29174,809;medio;Hontoria del Pinar;Sierra de la Demanda (comarca);Burgos
230;FERRARI;ANTÓN;GRACIELA AZUCENA;11678,51592;muy bajo;Hornillos del Camino;;Burgos
231;FERRARI;;JORGE;37157,59761;muy alto;Hortigüela;Sierra de la Demanda (comarca);Burgos
232;FERRARIS;BARRIOS;ANA MARIA;18174,24293;muy bajo;Hoyales de Roa;Ribera del Duero;Burgos
233;FERREIRA;CHAVEZ;ALVARO GUSTAVO;32072,83754;alto;Huerta de Arriba;Sierra de la Demanda (comarca);Burgos
234;FERREIRA;SUAREZ;NIBIO;22652,7858;muy bajo;Humada;Páramos (comarca);Burgos
235;FERREIRA;;WALTER;36636,06501;muy alto;Hurones;Alfoz de Burgos;Burgos
236;FERREIRA;LIMA;WALDER;23203,52538;bajo;Huérmeces;Burgos;Burgos
237;FERREIRA;BRUM;PATRICIA;24760,01617;bajo;Ibeas de Juarros;Alfoz de Burgos;Burgos
238;FERREÑO;PARODI;OSCAR GERARDO;24840,49513;bajo;Ibrillos;Montes de Oca (comarca);Burgos
239;FERRER;SUGO;MARIA EUGENIA;15333,40888;muy bajo;Iglesiarrubia;Comarca del Arlanza;Burgos
240;FERRERO;DE LEON;JULIA MARGOT;26872,62548;medio;Iglesias;Odra-Pisuerga;Burgos
241;FERRES;PACHECO;EDUARDO;29797,41886;medio;Isar;Odra-Pisuerga;Burgos
242;FIERRO;GRONROS;GERMAN;25579,10418;medio;Itero del Castillo;Odra-Pisuerga;Burgos
243;FIORENTINO;FERREIRO;BEATRIZ ANITA;31694,92947;alto;Jaramillo Quemado;Sierra de la Demanda (comarca);Burgos
